luna	date	ncor	n	acc	ndropped	meanlat
10128	20080925	116	168	0.69047619047619	46	469.431034482759
10134	20080911	154	168	0.916666666666667	5	449.974025974026
10152	20081004	83	168	0.494047619047619	80	451.240963855422
10152	20100514	150	168	0.892857142857143	16	404.626666666667
10152	20111123	156	168	0.928571428571429	8	383.916666666667
10153	20081004	85	168	0.505952380952381	73	529.552941176471
10153	20100604	161	168	0.958333333333333	6	420.732919254658
10153	20111128	155	168	0.922619047619048	13	400.348387096774
10156	20080922	111	168	0.660714285714286	12	450.747747747748
10156	20100313	142	168	0.845238095238095	5	437.035211267606
10156	20110923	157	168	0.93452380952381	7	412.509554140127
10173	20080913	140	168	0.833333333333333	19	378.857142857143
10173	20100313	164	168	0.976190476190476	4	372.384146341463
10173	20110820	161	168	0.958333333333333	4	362.273291925466
10181	20090604	90	168	0.535714285714286	77	359.733333333333
10181	20101124	71	168	0.422619047619048	94	341.028169014084
10181	20130129	89	168	0.529761904761905	70	381.359550561798
10300	20081112	85	168	0.505952380952381	66	397.176470588235
10300	20100702	134	168	0.797619047619048	22	385.865671641791
10300	20111201	116	168	0.69047619047619	47	359.672413793103
10315	20080924	150	168	0.892857142857143	3	381.913333333333
10385	20081111	158	168	0.94047619047619	5	414.854430379747
10406	20090216	134	168	0.797619047619048	34	362.044776119403
10406	20100828	160	168	0.952380952380952	6	374.9875
10406	20120524	122	168	0.726190476190476	43	373.762295081967
10431	20081101	97	168	0.577380952380952	67	413.164948453608
10451	20080913	156	168	0.928571428571429	7	337.096153846154
10466	20100102	63	168	0.375	97	393.365079365079
10466	20110910	117	168	0.696428571428571	44	420.17094017094
10466	20130923	156	168	0.928571428571429	10	401.884615384615
10483	20081029	76	168	0.452380952380952	70	460.657894736842
10529	20081105	139	168	0.827380952380952	13	408.676258992806
10558	20080923	51	168	0.303571428571429	104	351.490196078431
10565	20081028	121	168	0.720238095238095	20	451.702479338843
10565	20100624	99	168	0.589285714285714	57	439.474747474747
10565	20120107	103	168	0.613095238095238	47	409
10567	20090114	140	168	0.833333333333333	19	415.485714285714
10567	20100810	128	168	0.761904761904762	21	407.1875
10567	20130503	101	168	0.601190476190476	55	402.910891089109
10568	20090112	147	168	0.875	18	428.748299319728
10568	20100619	137	168	0.81547619047619	28	419.226277372263
10568	20120110	150	168	0.892857142857143	18	396.466666666667
10572	20090303	143	168	0.851190476190476	21	365.426573426573
10572	20110112	148	168	0.880952380952381	20	342.25
10572	20120514	163	168	0.970238095238095	5	347.638036809816
10574	20080930	144	168	0.857142857142857	24	324.805555555556
10584	20080729	154	168	0.916666666666667	8	433.935064935065
10585	20080918	100	168	0.595238095238095	17	384.15
10585	20100415	114	168	0.678571428571429	28	370.078947368421
10585	20120822	67	84	0.797619047619048	6	389.910447761194
10587	20080812	168	168	1	0	395.077380952381
10589	20081101	133	168	0.791666666666667	8	528.90977443609
10589	20100525	130	168	0.773809523809524	25	467.038461538462
10589	20111121	111	168	0.660714285714286	53	429.603603603604
10590	20080815	0	126	0	126	NA
10594	20080912	135	168	0.803571428571429	28	354.837037037037
10599	20090124	144	168	0.857142857142857	22	400.923611111111
10599	20100726	133	168	0.791666666666667	31	379.526315789474
10601	20080821	136	168	0.80952380952381	24	556.698529411765
10604	20080913	89	128	0.6953125	38	391.022471910112
10604	20100313	127	168	0.755952380952381	41	383.362204724409
10604	20120121	73	168	0.43452380952381	93	375.232876712329
10605	20080925	139	168	0.827380952380952	15	380.726618705036
10606	20080923	133	168	0.791666666666667	16	399.571428571429
10607	20080930	160	168	0.952380952380952	2	394.4125
10608	20081006	140	168	0.833333333333333	12	375.007142857143
10608	20100615	158	168	0.94047619047619	5	365.132911392405
10608	20111122	167	168	0.994047619047619	0	348.724550898204
10616	20081122	132	168	0.785714285714286	29	360.598484848485
10616	20100624	102	168	0.607142857142857	64	365.960784313725
10616	20120130	138	168	0.821428571428571	23	370.760869565217
10623	20090113	116	168	0.69047619047619	48	366.301724137931
10623	20120111	125	168	0.744047619047619	38	403.584
10625	20090226	148	168	0.880952380952381	19	395.067567567568
10626	20090214	107	168	0.636904761904762	25	518.252336448598
10626	20100916	148	168	0.880952380952381	10	473.47972972973
10626	20121008	159	168	0.946428571428571	3	404.962264150943
10627	20090214	93	168	0.553571428571429	69	497.677419354839
10627	20101123	126	168	0.75	36	497.404761904762
10627	20121219	124	168	0.738095238095238	42	431.927419354839
10628	20090214	26	168	0.154761904761905	136	428.846153846154
10629	20090203	137	168	0.81547619047619	14	370.759124087591
10629	20100929	147	168	0.875	14	352.156462585034
10629	20120317	140	168	0.833333333333333	21	345.321428571429
10633	20090228	140	168	0.833333333333333	4	353.214285714286
10635	20090210	153	168	0.910714285714286	12	435.228758169935
10636	20090307	162	168	0.964285714285714	5	388.950617283951
10636	20100828	150	168	0.892857142857143	12	361.36
10636	20131125	148	168	0.880952380952381	19	356.060810810811
10637	20090307	79	168	0.470238095238095	57	490.012658227848
10637	20100828	83	168	0.494047619047619	45	452.313253012048
10637	20121112	74	168	0.44047619047619	81	375.148648648649
10638	20090312	142	168	0.845238095238095	9	414.908450704225
10638	20100809	149	168	0.886904761904762	10	409.805369127517
10638	20120216	128	168	0.761904761904762	36	390.828125
10644	20090323	96	168	0.571428571428571	31	453.229166666667
10644	20101111	201	252	0.797619047619048	29	484.164179104478
10644	20120516	129	168	0.767857142857143	31	422.06976744186
10646	20090410	89	168	0.529761904761905	31	625.505617977528
10648	20100603	32	168	0.19047619047619	64	479.8125
10652	20090410	119	168	0.708333333333333	36	523.857142857143
10652	20101016	148	168	0.880952380952381	14	472.817567567568
10653	20090401	149	168	0.886904761904762	3	384.973154362416
10653	20101001	149	168	0.886904761904762	16	356.986577181208
10653	20121205	112	168	0.666666666666667	49	377.178571428571
10654	20090408	109	168	0.648809523809524	49	443.43119266055
10654	20100920	129	168	0.767857142857143	24	470.658914728682
10654	20120430	116	168	0.69047619047619	38	458.887931034483
10655	20090408	101	168	0.601190476190476	58	376.336633663366
10656	20090410	26	84	0.30952380952381	38	372.923076923077
10661	20090507	96	126	0.761904761904762	8	397.0625
10661	20110325	109	168	0.648809523809524	55	418.678899082569
10661	20120406	150	168	0.892857142857143	9	400.433333333333
10662	20090507	119	168	0.708333333333333	12	467.949579831933
10662	20101123	109	168	0.648809523809524	27	483.816513761468
10662	20120406	147	168	0.875	6	410.380952380952
10664	20090417	144	168	0.857142857142857	23	362.375
10665	20090417	153	168	0.910714285714286	4	355.751633986928
10665	20101215	69	96	0.71875	19	358.68115942029
10665	20120611	151	168	0.898809523809524	4	338.662251655629
10666	20090722	145	168	0.863095238095238	15	434.572413793103
10666	20110425	152	168	0.904761904761905	14	443.822368421053
10667	20090722	161	168	0.958333333333333	4	443.509316770186
10667	20110415	148	168	0.880952380952381	17	427.628378378378
10667	20120907	152	168	0.904761904761905	14	462.328947368421
10671	20090606	116	168	0.69047619047619	52	358.724137931034
10671	20110205	160	168	0.952380952380952	4	341.93125
10672	20090606	59	168	0.351190476190476	79	410.305084745763
10672	20131025	152	168	0.904761904761905	7	375.519736842105
10673	20090519	134	168	0.797619047619048	28	513.350746268657
10673	20110221	123	168	0.732142857142857	39	466.113821138211
10673	20120821	62	84	0.738095238095238	15	467.822580645161
10674	20090519	125	168	0.744047619047619	19	496.152
10675	20090519	141	168	0.839285714285714	9	511.382978723404
10676	20090521	131	168	0.779761904761905	28	374.335877862595
10677	20090606	148	168	0.880952380952381	17	442.290540540541
