luna	date	run	trial	xdat	lat	Count
10128	20080925	1	1	201	449	1
10128	20080925	1	2	149	389	1
10128	20080925	1	3	129	393	1
10128	20080925	1	4	203	525	1
10128	20080925	1	5	201	409	1
10128	20080925	1	6	130	629	1
10128	20080925	1	7	201	637	1
10128	20080925	1	8	149	517	1
10128	20080925	1	9	147	453	1
10128	20080925	1	10	202	413	1
10128	20080925	1	11	128	565	1
10128	20080925	1	12	129	549	1
10128	20080925	1	13	127	429	1
10128	20080925	1	14	150	465	1
10128	20080925	1	15	130	429	1
10128	20080925	1	16	201	325	1
10128	20080925	1	17	150	NA	-1
10128	20080925	1	18	128	537	1
10128	20080925	1	19	204	589	1
10128	20080925	1	20	150	NA	-1
10128	20080925	1	21	203	641	1
10128	20080925	1	22	130	505	1
10128	20080925	1	23	203	465	1
10128	20080925	1	24	204	NA	-1
10128	20080925	1	25	148	473	1
10128	20080925	1	26	147	81	1
10128	20080925	1	27	127	421	1
10128	20080925	1	28	147	373	2
10128	20080925	1	29	127	170	2
10128	20080925	1	30	204	515	1
10128	20080925	1	31	147	425	1
10128	20080925	1	32	150	585	1
10128	20080925	1	33	148	357	1
10128	20080925	1	34	130	617	1
10128	20080925	1	35	128	557	1
10128	20080925	1	36	204	629	1
10128	20080925	1	37	202	521	1
10128	20080925	1	38	127	557	1
10128	20080925	1	39	202	NA	-1
10128	20080925	1	40	129	541	1
10128	20080925	1	41	148	353	1
10128	20080925	1	42	149	NA	-1
10128	20080925	2	1	127	445	1
10128	20080925	2	2	147	NA	-1
10128	20080925	2	3	127	525	1
10128	20080925	2	4	204	525	1
10128	20080925	2	5	150	401	1
10128	20080925	2	6	129	437	1
10128	20080925	2	7	150	209	2
10128	20080925	2	8	147	601	1
10128	20080925	2	9	203	389	2
10128	20080925	2	10	149	541	1
10128	20080925	2	11	130	477	1
10128	20080925	2	12	127	NA	-1
10128	20080925	2	13	201	605	1
10128	20080925	2	14	202	433	1
10128	20080925	2	15	203	NA	-1
10128	20080925	2	16	148	161	1
10128	20080925	2	17	148	425	1
10128	20080925	2	18	204	502	1
10128	20080925	2	19	148	437	1
10128	20080925	2	20	127	453	1
10128	20080925	2	21	129	389	1
10128	20080925	2	22	128	NA	-1
10128	20080925	2	23	130	561	1
10128	20080925	2	24	204	NA	-1
10128	20080925	2	25	149	457	1
10128	20080925	2	26	149	581	1
10128	20080925	2	27	204	453	1
10128	20080925	2	28	128	453	1
10128	20080925	2	29	130	NA	-1
10128	20080925	2	30	150	NA	-1
10128	20080925	2	31	201	425	1
10128	20080925	2	32	201	NA	-1
10128	20080925	2	33	147	NA	-1
10128	20080925	2	34	129	433	1
10128	20080925	2	35	202	NA	-1
10128	20080925	2	36	202	501	1
10128	20080925	2	37	130	509	1
10128	20080925	2	38	147	141	1
10128	20080925	2	39	128	377	1
10128	20080925	2	40	203	NA	-1
10128	20080925	2	41	150	573	1
10128	20080925	2	42	201	NA	-1
10128	20080925	3	1	147	517	1
10128	20080925	3	2	127	NA	-1
10128	20080925	3	3	129	NA	-1
10128	20080925	3	4	147	NA	-1
10128	20080925	3	5	202	429	1
10128	20080925	3	6	129	NA	-1
10128	20080925	3	7	127	497	1
10128	20080925	3	8	204	NA	-1
10128	20080925	3	9	201	NA	-1
10128	20080925	3	10	150	NA	-1
10128	20080925	3	11	203	NA	-1
10128	20080925	3	12	201	625	1
10128	20080925	3	13	128	441	1
10128	20080925	3	14	147	NA	-1
10128	20080925	3	15	149	NA	-1
10128	20080925	3	16	202	NA	-1
10128	20080925	3	17	128	NA	-1
10128	20080925	3	18	202	NA	-1
10128	20080925	3	19	150	NA	-1
10128	20080925	3	20	128	NA	-1
10128	20080925	3	21	129	437	1
10128	20080925	3	22	148	NA	-1
10128	20080925	3	23	148	NA	-1
10128	20080925	3	24	130	733	1
10128	20080925	3	25	204	NA	-1
10128	20080925	3	26	147	NA	-1
10128	20080925	3	27	203	NA	-1
10128	20080925	3	28	130	NA	-1
10128	20080925	3	29	149	637	0
10128	20080925	3	30	203	413	1
10128	20080925	3	31	130	361	1
10128	20080925	3	32	149	NA	-1
10128	20080925	3	33	127	429	1
10128	20080925	3	34	150	NA	-1
10128	20080925	3	35	204	NA	-1
10128	20080925	3	36	148	NA	-1
10128	20080925	3	37	127	345	2
10128	20080925	3	38	204	497	1
10128	20080925	3	39	130	365	1
10128	20080925	3	40	150	NA	-1
10128	20080925	3	41	201	NA	-1
10128	20080925	3	42	201	NA	-1
10128	20080925	4	1	147	413	1
10128	20080925	4	2	130	389	1
10128	20080925	4	3	202	373	1
10128	20080925	4	4	149	465	1
10128	20080925	4	5	201	357	1
10128	20080925	4	6	202	NA	-1
10128	20080925	4	7	129	433	1
10128	20080925	4	8	129	529	1
10128	20080925	4	9	150	533	1
10128	20080925	4	10	149	485	1
10128	20080925	4	11	130	425	1
10128	20080925	4	12	127	421	1
10128	20080925	4	13	203	557	1
10128	20080925	4	14	204	581	1
10128	20080925	4	15	129	557	1
10128	20080925	4	16	150	445	1
10128	20080925	4	17	128	405	1
10128	20080925	4	18	204	527	1
10128	20080925	4	19	203	469	1
10128	20080925	4	20	148	461	1
10128	20080925	4	21	149	509	1
10128	20080925	4	22	201	497	1
10128	20080925	4	23	203	521	1
10128	20080925	4	24	127	449	1
10128	20080925	4	25	150	457	1
10128	20080925	4	26	147	430	1
10128	20080925	4	27	148	357	1
10128	20080925	4	28	128	421	1
10128	20080925	4	29	127	449	1
10128	20080925	4	30	127	437	1
10128	20080925	4	31	147	545	1
10128	20080925	4	32	204	477	1
10128	20080925	4	33	148	421	1
10128	20080925	4	34	201	429	1
10128	20080925	4	35	204	445	1
10128	20080925	4	36	130	505	1
10128	20080925	4	37	128	417	1
10128	20080925	4	38	202	497	1
10128	20080925	4	39	147	477	1
10128	20080925	4	40	150	465	1
10128	20080925	4	41	201	469	1
10128	20080925	4	42	130	445	1
10134	20080911	1	1	201	481	1
10134	20080911	1	2	149	461	1
10134	20080911	1	3	129	457	1
10134	20080911	1	4	203	433	1
10134	20080911	1	5	201	421	1
10134	20080911	1	6	130	445	1
10134	20080911	1	7	201	365	1
10134	20080911	1	8	149	401	1
10134	20080911	1	9	147	425	1
10134	20080911	1	10	202	433	1
10134	20080911	1	11	128	385	1
10134	20080911	1	12	129	493	1
