luna	date	rtype	ncor	n	acc	ndropped	meanlat
10128	20080925	pun	45	56	0.803571428571429	9	474.066666666667
10128	20080925	neut	35	56	0.625	18	439.885714285714
10128	20080925	rew	36	56	0.642857142857143	19	492.361111111111
10134	20080911	pun	50	56	0.892857142857143	1	448.18
10134	20080911	neut	52	56	0.928571428571429	2	450.615384615385
10134	20080911	rew	52	56	0.928571428571429	2	451.057692307692
10152	20081004	pun	24	56	0.428571428571429	31	447.375
10152	20081004	neut	33	56	0.589285714285714	20	425.424242424242
10152	20081004	rew	26	56	0.464285714285714	29	487.576923076923
10152	20100514	pun	51	56	0.910714285714286	5	412.411764705882
10152	20100514	neut	50	56	0.892857142857143	6	390.84
10152	20100514	rew	49	56	0.875	5	410.591836734694
10152	20111123	pun	55	56	0.982142857142857	1	380.945454545455
10152	20111123	neut	50	56	0.892857142857143	2	382.48
10152	20111123	rew	51	56	0.910714285714286	5	388.529411764706
10153	20081004	pun	28	56	0.5	25	524.571428571429
10153	20081004	neut	28	56	0.5	24	505.285714285714
10153	20081004	rew	29	56	0.517857142857143	24	557.793103448276
10153	20100604	pun	54	56	0.964285714285714	2	415.814814814815
10153	20100604	neut	52	56	0.928571428571429	4	415.403846153846
10153	20100604	rew	55	56	0.982142857142857	0	430.6
10153	20111128	pun	52	56	0.928571428571429	4	406.211538461538
10153	20111128	neut	50	56	0.892857142857143	6	398.38
10153	20111128	rew	53	56	0.946428571428571	3	396.452830188679
10156	20080922	pun	37	56	0.660714285714286	6	428.702702702703
10156	20080922	neut	41	56	0.732142857142857	3	446.975609756098
10156	20080922	rew	33	56	0.589285714285714	3	480.151515151515
10156	20100313	pun	52	56	0.928571428571429	3	420.711538461538
10156	20100313	neut	45	56	0.803571428571429	1	450.488888888889
10156	20100313	rew	45	56	0.803571428571429	1	442.444444444444
10156	20110923	pun	52	56	0.928571428571429	3	410.442307692308
10156	20110923	neut	51	56	0.910714285714286	3	410.43137254902
10156	20110923	rew	54	56	0.964285714285714	1	416.462962962963
10173	20080913	pun	52	56	0.928571428571429	3	374.173076923077
10173	20080913	neut	43	56	0.767857142857143	11	371.604651162791
10173	20080913	rew	45	56	0.803571428571429	5	391.2
